Category: All categories

Week,covid,lockdown,hospital,vaccine
2016-08-21,0,<1,11,1
2016-08-28,<1,<1,12,1
2016-09-04,<1,<1,11,1
2016-09-11,<1,<1,11,1
2016-09-18,<1,<1,11,1
2016-09-25,<1,<1,11,1
2016-10-02,<1,<1,11,1
2016-10-09,<1,<1,11,1
2016-10-16,<1,<1,11,1
2016-10-23,0,<1,11,1
2016-10-30,<1,<1,11,1
2016-11-06,<1,<1,10,1
2016-11-13,0,<1,11,1
2016-11-20,<1,<1,10,1
2016-11-27,0,<1,11,1
2016-12-04,<1,<1,11,1
2016-12-11,<1,<1,10,1
2016-12-18,<1,<1,10,<1
2016-12-25,0,<1,9,<1
2017-01-01,<1,<1,11,1
2017-01-08,<1,<1,11,1
2017-01-15,0,<1,11,1
2017-01-22,0,<1,11,1
2017-01-29,0,<1,11,1
2017-02-05,0,<1,11,1
2017-02-12,<1,<1,11,1
2017-02-19,0,<1,11,1
2017-02-26,0,<1,12,1
2017-03-05,0,<1,12,1
2017-03-12,<1,<1,12,1
2017-03-19,<1,<1,12,1
2017-03-26,<1,<1,12,1
2017-04-02,<1,<1,12,1
2017-04-09,<1,<1,11,1
2017-04-16,0,<1,11,1
2017-04-23,0,<1,12,1
2017-04-30,0,<1,12,1
2017-05-07,<1,<1,12,1
2017-05-14,0,<1,12,1
2017-05-21,0,<1,12,1
2017-05-28,<1,<1,11,1
2017-06-04,<1,<1,12,1
2017-06-11,0,<1,12,1
2017-06-18,<1,<1,12,1
2017-06-25,<1,<1,12,1
2017-07-02,<1,<1,12,1
2017-07-09,<1,<1,13,1
2017-07-16,<1,<1,12,1
2017-07-23,0,<1,13,1
2017-07-30,<1,<1,13,1
2017-08-06,<1,<1,13,1
2017-08-13,0,<1,13,1
2017-08-20,0,<1,13,1
2017-08-27,0,<1,12,1
2017-09-03,<1,<1,12,1
2017-09-10,<1,<1,13,1
2017-09-17,<1,<1,13,1
2017-09-24,0,<1,12,1
2017-10-01,<1,<1,12,1
2017-10-08,0,<1,12,1
2017-10-15,0,<1,13,1
2017-10-22,0,<1,13,1
2017-10-29,<1,<1,12,1
2017-11-05,0,<1,12,1
2017-11-12,<1,<1,12,1
2017-11-19,0,<1,11,1
2017-11-26,0,<1,12,1
2017-12-03,<1,<1,12,1
2017-12-10,0,<1,11,1
2017-12-17,<1,<1,11,1
2017-12-24,0,<1,10,<1
2017-12-31,0,<1,12,1
2018-01-07,<1,<1,13,1
2018-01-14,0,<1,12,1
2018-01-21,<1,<1,13,1
2018-01-28,0,<1,12,1
2018-02-04,0,<1,13,1
2018-02-11,0,<1,12,1
2018-02-18,<1,<1,12,1
2018-02-25,<1,<1,12,1
2018-03-04,0,<1,13,1
2018-03-11,<1,<1,13,1
2018-03-18,0,<1,13,1
2018-03-25,0,<1,12,1
2018-04-01,0,<1,13,1
2018-04-08,0,<1,12,1
2018-04-15,<1,<1,12,1
2018-04-22,0,<1,12,1
2018-04-29,0,<1,12,1
2018-05-06,<1,<1,12,1
2018-05-13,<1,<1,12,1
2018-05-20,0,<1,12,1
2018-05-27,0,<1,12,1
2018-06-03,<1,<1,12,1
2018-06-10,<1,<1,13,1
2018-06-17,<1,<1,13,1
2018-06-24,<1,<1,12,1
2018-07-01,0,<1,12,1
2018-07-08,<1,<1,13,1
2018-07-15,0,<1,13,1
2018-07-22,<1,<1,13,1
2018-07-29,0,<1,13,1
2018-08-05,0,<1,13,1
2018-08-12,<1,<1,13,1
2018-08-19,<1,<1,12,1
2018-08-26,0,<1,13,1
2018-09-02,<1,<1,13,1
2018-09-09,0,<1,13,1
2018-09-16,<1,<1,13,1
2018-09-23,0,<1,13,1
2018-09-30,0,<1,13,1
2018-10-07,<1,<1,12,1
2018-10-14,0,<1,12,1
2018-10-21,<1,<1,13,1
2018-10-28,0,<1,12,1
2018-11-04,<1,<1,12,1
2018-11-11,<1,<1,12,1
2018-11-18,<1,<1,12,1
2018-11-25,0,<1,12,1
2018-12-02,<1,<1,12,1
2018-12-09,<1,<1,12,1
2018-12-16,0,<1,12,1
2018-12-23,0,<1,10,1
2018-12-30,<1,<1,11,1
2019-01-06,0,<1,13,1
2019-01-13,0,<1,13,1
2019-01-20,0,<1,13,1
2019-01-27,0,<1,13,1
2019-02-03,0,<1,13,1
2019-02-10,0,<1,13,1
2019-02-17,<1,<1,13,1
2019-02-24,<1,<1,12,1
2019-03-03,<1,<1,13,1
2019-03-10,0,<1,13,1
2019-03-17,<1,<1,13,1
2019-03-24,<1,<1,13,1
2019-03-31,<1,<1,13,1
2019-04-07,<1,<1,13,1
2019-04-14,<1,<1,12,1
2019-04-21,<1,<1,12,1
2019-04-28,<1,<1,13,1
2019-05-05,0,<1,12,1
2019-05-12,0,<1,12,1
2019-05-19,<1,<1,12,1
2019-05-26,<1,<1,13,1
2019-06-02,<1,<1,13,1
2019-06-09,0,<1,13,1
2019-06-16,0,<1,13,1
2019-06-23,<1,<1,13,1
2019-06-30,0,<1,13,1
2019-07-07,<1,<1,14,1
2019-07-14,<1,<1,13,1
2019-07-21,<1,<1,14,1
2019-07-28,<1,<1,13,1
2019-08-04,0,<1,13,1
2019-08-11,<1,<1,13,1
2019-08-18,0,<1,14,1
2019-08-25,0,<1,13,1
2019-09-01,0,<1,13,1
2019-09-08,<1,<1,14,1
2019-09-15,0,<1,13,1
2019-09-22,<1,<1,13,1
2019-09-29,<1,<1,13,1
2019-10-06,<1,<1,13,1
2019-10-13,0,<1,13,1
2019-10-20,<1,<1,13,1
2019-10-27,<1,<1,12,1
2019-11-03,<1,<1,13,1
2019-11-10,0,<1,13,1
2019-11-17,<1,<1,13,1
2019-11-24,<1,<1,12,1
2019-12-01,0,<1,12,1
2019-12-08,0,<1,12,1
2019-12-15,<1,<1,12,1
2019-12-22,0,<1,11,1
2019-12-29,<1,<1,12,1
2020-01-05,0,<1,13,1
2020-01-12,<1,<1,13,1
2020-01-19,0,<1,13,1
2020-01-26,<1,<1,14,1
2020-02-02,<1,<1,14,1
2020-02-09,1,<1,13,1
2020-02-16,1,<1,13,1
2020-02-23,4,<1,13,1
2020-03-01,8,<1,14,2
2020-03-08,31,3,15,3
2020-03-15,77,12,15,4
2020-03-22,100,16,14,4
2020-03-29,94,10,13,3
2020-04-05,83,11,12,3
2020-04-12,79,10,11,3
2020-04-19,71,8,10,3
2020-04-26,68,11,11,3
2020-05-03,65,10,11,3
2020-05-10,62,10,11,3
2020-05-17,58,9,11,3
2020-05-24,54,7,11,2
2020-05-31,49,5,12,2
2020-06-07,50,5,12,2
